month,cost_less_property_tax,nightly_adjustment,host_service_fee
2023-01-31,79690000.0,510000.0,11953500.0
2023-02-28,81600000.0,0.0,12240000.0
2023-03-31,85435000.0,765000.0,12815250.0
2023-04-30,165226224.0,0.0,24783933.6
2023-05-31,129505000.0,375000.0,19425750.0
2023-06-30,144925000.0,4675000.0,21738750.0
2023-07-31,171605000.0,3620000.0,25740750.0
2023-08-31,161537500.0,2362500.0,24230625.0
2023-09-30,31650000.0,250000.0,4747500.0
2023-10-31,101365000.0,400000.0,15204750.0
2023-11-30,56484838.0,1807190.0,8472725.7
2023-12-31,9084061.0,4173174.0,1362609.15
