booking_id,nightly_adjustment
HMYFDY5FJW,250000
HMHA5JCWB4,250000
HMM3PYB8PS,250000
HMC93X39XE,250000
HMBXC2P4A5,255000
HME3XKNT5P,255000
HMETX5K8QS,255000
HMJQFY9RKN,375000
HMFCCC994S,375000
HMBRCC5ZKB,400000
HMBW3B2APN,400000
HMZRYAYPTK,425000
HMDY3FNWCB,510000
HMXZERCB95,598804
HM295ZBZ93,808386
HM5ABEHZSE,820000
HMKQHQK4KT,1062500
HMQYXCJFE3,1062500
HM2YFEH9FN,1487500
HMM82FZHPQ,1912500
HMTEWN8DPP,2762500
HM3HSSWMF8,2242302
HMNABKWC3J,1930872
HM2ZWTQHYA,255000
HMAKH5NQME,1197300
HMDBPSZBYN,1360000
HMF8STETZQ,1068867.79
HMB4T8KBJF,2049478.8
HMRKSM4FH5,2049478.8
HMPP2H58JQ,195000
HMKZ3NEY24,619633.5
HMT32KNBNW,619633.5
HMMM32FZZP,1384266.4
HMCRXJBMJK,747434
HM3HSSWMF8,844806
HMNABKWC3J,1930872
HME3AM3RDQ,795000
HMJ3NJWAFY,170000
HMX9882PPB,1380000
